Product Name,Mass,Kcals,Pro,CHO,Fat,Sat Fat,Na,K,Mg,Fe,Zn,Ca,p,Fiber
Almonds,45,243,11,11,20,1.8,1.67,343,131,1.9,1.5,126,223,6.5
Apple Cider,28.7,112.5,0.04,28,0,0,26.6,2.9,0.8,0,0,72,32,0
Apples with Spice,143,137.28,0.4,35.42,0,0,151.29,133.56,3.56,0.31,0.13,6.05,8.37,1.64
Applesauce,128,132,0.13,34,0.05,0,9.22,61,2.8,0.1,0,4.6,7,1.5
Apricot Cobbler,170,330,2.8,66,7.3,3,79,287,12,0.61,0.24,21,36,2.7
Asparagus,8.4,22,3,4,0.16,0,0.9,263,14.5,0.48,0.68,34,66,1.8
Baked Beans,142,158,7,37,0.65,0,298,293,34,2.1,1.7,80,76,6
Banana Pudding,114,124,2,27,0.8,0,111,98,6,0,0,61,48,0
Barbecued Beef Brisket,118,231,29,14,6.6,2.42,514,465,28,2.8,5.31,12,215,0
Beef Fajitas,125,187,31,8,4.8,2,841,500,38,2.9,4,23,238,3
Beef Pattie,24,89.4,13.9,1,3.3,1.7,272,232.6,14.1,1.9,3,2.9,119.7,0
Beef Steak,100,208,27,1,10.86,4.7,492.3,416,26,2.98,6.32,5.4,337.5,0
Beef Stew,198,150.5,19.6,12.3,4,1.7,416.2,482,28,1.9,4.69,18.8,165,2.9
Beef Tips w/ Mushrooms,138,182.2,30.9,7.1,5.2,2.2,419.9,343.9,28.7,4.5,5.1,35.1,209.7,4.3
Berry Medley,31,105,1,27,0,0,1.1,165,17,0.53,0.17,26,23,2.3
Black Beans,170,114,9,26,0.66,0,271,635,66,2.8,1.05,72,173,8
Blueberry Raspberry Yogurt,140,120,3.5,26,0.24,0,42,162,12,0,0,109,88,0
Bran Chex,40,135,5,31,0.19,0,246,276,53,12,3.5,193,192,3.2
Bread Pudding,170,219,8.8,47,0.1,0,226,197,21,1.26,0.7,90,91,1.1
Breakfast Sausage Links,70,155,11.71,4.7,9.9,3.78,614.6,209.37,14.28,0.78,1.62,8.61,116,0
Broccoli au Gratin,30,124,4.8,14,7,4,740.4,370,22.5,0.35,0.93,120.5,432,3.6
Brown Rice,121,161,3,37,0.86,0,62,127,49,0.7,0.87,10,125,1.8
Brownie,61,268,2,41,10.94,3,116,86,20,2,0.4,14.9,69,1.08
Butter Cookies,34,150,2,22,6,4,59,41,4.2,1,0,6,41,0.54
Butterscotch Pudding,114,123,2,27.3,0.82,0,131.3,105,6,0.05,0.23,72.5,53,0.57
Candied Yams,170,129,0.92,32,0.56,0,264.9,276.4,10.9,0.56,0.24,20.6,21.8,2.2
Candy Coated Almonds,45,230,4,27,12,3.8,18,162,50,0.8,0.8,68,97,1.5
Candy Coated Chocolates,30,141,1.5,22,5.6,3.6,18.3,95,18,0.3,0.5,40,48,0.81
Candy Coated Peanuts,45,228,5,27,12,5,20,173,44,0.76,0.89,42,85,1.4
Carrot Coins,127,42.5,1.2,11.6,0.53,0,80,211.3,15.2,0.3,0.2,37,47.1,3.3
Cashews,45,265,10,13,20,4,4.8,324,112,2.5,2.7,16,208,1.5
Cauliflower w / Cheese,16,55,2.6,9,2.3,1.1,473,263,16,0.44,0.32,50.5,113,2.7
Cheddar Cheese Spread,42.5,178,5.13,1.53,16.8,12,704.8,23,6.3,0.15,0.8,165,309,0
Cheese Grits,142,121,6,20,2.4,1.5,257,130,14,0.21,0.7,214,219,1.4
Cheese Tortellini,227,216,10,46,2.25,0,487,466,49,2,1.2,192,198,7.72
Cherry Blueberry Cobbler,170,306,2,58,9.35,4.43,139.06,257,16,0.66,0.43,58,98,4.5
Cherry Drink w/ A/S,1.1,3.94,0.05,0.94,0,0,3.94,4.3,0.29,0.03,0.004,22.78,9.94,0
Chicken Consomme,6.7,14,0.13,2.4,0.4,0,1399,14,8,0.001,0,79,8,0
Chicken Fajitas,142,168.9,27.4,9.1,4.1,0.53,487.4,550.2,41,0.7,0.8,18.1,262,3.4
Chicken in Pouches,85,90,20,0,1.5,0.5,260,0,0,0,0,0,0,0
Chicken Noodle Soup,227,134,17.4,14.8,1.36,0,345.7,295,29,1,2.8,35,139,1.66
Chicken Terivaki,120,150,27,8,1,0,1140,540,48,0.64,,21,274,0
Chicken w / Corn & Black Beans,170,127.5,14.3,18,1.84,0,212,459.3,40,1.45,0.7,18.9,145.5,4.5
Chicken w / Peanut Sauce,198,214,25,18,5.56,3,393.2,530,52,1.4,1.05,42,275,2.1
Chicken-Pineapple Salad,28.4,128.1,15.5,5.6,5.2,0.9,136.7,272.4,27.6,0.4,0.9,17.3,138,0.8
Chipotle Snack Bread,57,191.5,4.6,33.4,5.1,1.2,379,115,22,2.2,0.51,183,135,1.64
Chocolate Breakfast Drink,33.7,120,6.3,24,0.4,0,170.3,441.1,93,4.2,3,242.2,212.1,1.3
Chocolate Pudding,114,124,2.3,27,1,0,117,163,14,0.6,0.3,61,58,0.8
Chocolate Pudding Cake,134,319,5.6,57,10,6.19,171.1,383,75,6.39,1.17,122,183,6.27
Citrus Fruit Salad,142,70,0.81,17,0.14,0,6.8,175,9.4,0.13,0.2,21.6,17,0.98
Cocoa,50.5,165.6,2.7,43.9,1.1,0.55,152.2,523,36.7,3.1,0.3,51.3,208.5,7.6
Corn,37,137,4.2,27,3,0.7,189,340,31,0.61,0.9,8.7,110,3.7
Cornbread Dressing,50,195,6.7,35,4.6,2.6,547.8,271,32,1.7,1.1,153,146,3.2
Cornflakes,40,147.6,4.5,32.8,0.05,0,210.7,172.6,14.7,8.1,0.4,110.7,102.9,0.5
Crackers,18,82,1.3,12,3.2,0.5,152.2,19,3.8,0.56,0.11,7,36,0.3
Cranapple Dessert,177,144,2.42,29,4.1,1,43.4,183,30,0.4,0.4,37,58,4.8
Cranberry Peach Drink w/ A/S,1.2,4,0.03,1,0,0,36,15,1.6,0,0,1.6,0.06,0
Crawfish Etouffee,198,113,6.4,18,2.34,0,380.8,302.15,21,2.63,0.85,58,106,1.6
Creamed Spinach,18,65,3.3,10,2,1.2,544,333,61,0.61,0.39,139,76,1.5
Curry Sauce w/ Vegetables,184,107,1.5,23,2.2,2,287,504,25,1.3,0.35,35,71,3
Decaf. Coffee Black,2.5,8,0.4,1.8,0,0,0.74,86,4,0,0,4,9,0.33
Decaf. Coffee w / A/S,3,11,0,2,0,0,3,82,10,0.1,0,4,9,0
Decaf. Coffee w/C & A/S,6.5,30,0.1,4,1.1,0,7,111,10,0.1,0,5,22,0
Decaf. Coffeew/ C & S,17,72,0.4,4,1.1,0,5,96,10,0,0.1,5,16,0
Decaf. Coffeew/ Cream,6,28,0.1,4,1.1,0,7,111,10,0.1,0,5,22,0
Decaf. Coffeew/ Sugar,13.5,53,0,14,0,0,3,82,10,0.1,0,4,9,0
Dried Apricots,62,156,3.7,38,0.16,0,13,760,27,1.4,0.41,26,63,3.3
Dried Peaches,62,131,2,35,0.15,0,2,608,24,0.65,0,14,55,4.5
Dried Pears,62,138,2,37,0,0,6.4,574,25,0.8,0.32,16,57,5
Fiesta Chicken,227,220,23,16,8.8,3,700.8,575,36,0.68,1.4,128,285,3.2
Fruit Cocktail,128,81,0,21,0,0,35,109,6,0,0,6,11,
Granola,80,313,10.42,58,6,0.74,173,405,79,2,2.2,140,309,4
Granola Bar,28,120,1.4,20,4.2,2.8,51,65,15,0.37,0.7,12,50,0.81
Granola w/ Blueberries,57,230,7,39,7.3,4.23,73,318.5,48,1.12,1.2,108,190,4.6
Granola w/ Raisins,80,315,10,57,7,0.9,181,434,80,2.1,2,144,317,3.6
